customer_number,Archetype
1233,Gold_Silver_Traveller
1241,Gold_Silver_Essential
1242,Bronze_Essential
1250,Gold_Silver_Essential
1253,Platinum_Essential
1254,Platinum_Essential
1257,Bronze_Essential
1265,Gold_Silver_Essential
1267,Gold_Silver_Essential
1268,Platinum_Essential
1281,Gold_Silver_Essential
1284,Bronze_Traveller
1286,Bronze_Essential
1292,Gold_Silver_Essential
1301,Gold_Silver_Essential
1308,Bronze_Essential
1322,Gold_Silver_Traveller
1325,Bronze_Essential
1330,Gold_Silver_Essential
1340,Gold_Silver_Essential
1357,Platinum_Essential
1364,Bronze_Essential
1378,Gold_Silver_Essential
1379,Bronze_Traveller
1382,Gold_Silver_Essential
1388,Gold_Silver_Essential
1395,Gold_Silver_Free
1397,Gold_Silver_Essential
1399,Gold_Silver_Essential
1406,Gold_Silver_Essential
1412,Gold_Silver_Essential
1413,Gold_Silver_Essential
1419,Gold_Silver_Essential
1421,Bronze_Essential
1432,Gold_Silver_Essential
1433,Gold_Silver_Essential
1437,Platinum_Essential
1442,Platinum_Essential
1446,Gold_Silver_Essential
1454,Gold_Silver_Essential
1461,Gold_Silver_Essential
1464,Bronze_Essential
1469,Bronze_Essential
1473,Bronze_Traveller
1474,Gold_Silver_Essential
1480,Platinum_Free
1484,Gold_Silver_Essential
1497,Gold_Silver_Essential
1500,Bronze_Traveller
1508,Gold_Silver_Essential
1509,Bronze_Traveller
1511,Bronze_Traveller
1514,Gold_Silver_Essential
1519,Bronze_Traveller
1520,Gold_Silver_Essential
1524,Gold_Silver_Essential
1529,Bronze_Essential
1540,Bronze_Traveller
1557,Gold_Silver_Essential
1559,Gold_Silver_Essential
1567,Gold_Silver_Essential
1579,Platinum_Essential
1580,Bronze_Essential
1588,Platinum_Essential
1589,Gold_Silver_Essential
1594,Platinum_Essential
1595,Gold_Silver_Essential
1604,Gold_Silver_Essential
1617,Gold_Silver_Essential
1623,Gold_Silver_Essential
1626,Gold_Silver_Essential
1642,Bronze_Traveller
1652,Gold_Silver_Essential
1654,Gold_Silver_Essential
1657,Bronze_Traveller
1663,Gold_Silver_Essential
1669,Bronze_Essential
1671,Gold_Silver_Essential
1676,Gold_Silver_Essential
1696,Gold_Silver_Essential
1697,Gold_Silver_Essential
1704,Bronze_Traveller
1707,Platinum_Essential
1712,Platinum_Essential
1716,Bronze_Essential
1717,Gold_Silver_Essential
1721,Gold_Silver_Essential
